PAO,PAO UNID,TORRADA,TORRADA UNID,BISCOITO,BISCOITO UNID,COOKIE,COOKIE UNID,MACARRAO,MACARRAO UNID,MASSA ,MASSA UNID,PERA,PERA UNID,MANGA,MANGA UNID,PESSEGO,PESSEGO UNID,AMEIXA,AMEIXA UNID,UVA,UVA UNID,LARANJA,LARANJA UNID,LIMAO,LIMAO UNID,MELANCIA,MELANCIA UNID,MELAO ,MELAO UNID,MAMAO,MAMAO UNID,BANANA,BANANA UNID,MACA,MACA UNID,BERGAMOTA,BERGAMOTA UNID,BROCOLIS,BROCOLIS UNID,BETERRABA,BETERRABA UNID,AZEITONA,AZEITONA UNID,ALFACE,ALFACE UNID,CEBOLA,CEBOLA UNID,BATATA,BATATA UNID
PAO CASEIRO NICOLE 250G,un,TORRADA LIGHT ISABEL,un,BISCOITO PASSATEM,un,COOKIE CHOC BAUDUCCO,un,MACARRAO INSTANTA,un,MASSA PARATI 500G ESPAGUETE C/OVOS,un,PERA WILLIANS IMP GI,kg,MANGA,kg,PESSEGO,kg,AMEIXA KG,kg,UVA PRETA SEM SEMENT,un,LARANJA NAVELINA GRANEL,kg,LIMAO TAHTI,kg,MELANCIA POLPA AMARE,kg,MELAO AMARELO CRFO K,kg,MAMAO FORMOSA,kg,BANANA PRATA,kg,MACA SQ 1KG,un,BERG PONKAN,kg,BROCOLIS FRUTTICIPRI,un,BETERRABA RAMA,un,AZEITONA VDE S CAROC,un,ALFACE. UN,un,CEBOLA IMP KG,kg,BATATA BRANCA,kg
PAO PULLMAN INTEG,un,TORRADA INTEGRAL BAU,un,BISCOITO ANA RECH,un,COOKIE CHOC LACTA DI,un,MACARRAO INST CARREF,un,MAS C/OV DIANA ESPAG 500G,un,PERA PACKHAMS TRIPH,kg,MANGA TOMMY GRANEL,kg,PESSEGO NACIONAL,kg,AMEIXA IMPORT CRFO K,kg,UVA CLARA SEM SEMENT,un,LARANJA PERA CRFO KG,kg,LIMAO TAHITI CRFO KG,kg,MELANCIA,kg,MELAO AMARELO KG,kg,MAMAO FORMOSA CRFO K,kg,BANANA BRANCA,kg,MACA GALA CRFO KG,kg,BERGAMOTA MONTENE,kg,BROCOLIS HIBRIDO 350G,un,BETERRABA KG,kg,AZEITONA VERDE C/,un,ALFACE MIMOSA HID,un,CEBOLA GRANO IMPORTADA GRANEL,kg,BATATA BRANCA KG.,kg
PAO FRANCES MULTI,kg,TORR BAUDUCCO TOAST,un,BISC PLIC-PLAC POLVILHO 100G,un,COOKIE BA C A 140G,un,MAC SPAGUETTI N8 INT,un,MAS C/OV DIANA PENNE 500G,un,,,MANGA TOMMY CRFO KG,kg,PESSEGO NACIONAL kg,kg,AMEIXA SECA S/CAR,un,UVA COLONIAL ROSA,kg,LARANJA PERA KG,kg,LIMAO SICILIANO CRFO,kg,,,MELAO CANTALUPE CRFO,kg,MAMAO FORMOSA KG,kg,BANANA BRANCA KG,kg,MACA GALA KG,kg,BERGAMOTA KG,kg,,,BETERRABA,kg,AZEITON CARREFOUR VD,un,ALFACE MIMOSA HIDROPONICA,un,CEBOLA KG,kg,BATATA BRANCA GRANEL,kg
PAO MILHO SEVEN BOYS,un,TORRADA INTEGRAL ISA,un,BISC NESFIT INTEGRAL 170G,un,COOKIE INT NESFIT CA,un,MAC S GLUTEN ORIENTA,un,,,,,MANGA TOMMY KG,kg,PESSEGO BRANCO KG,kg,,,UVA VERMELHA SEM SEM,un,LARANJA UMBIGO CRFO,kg,,,,,,,MAMAO PAPAIA INTEIRO,kg,BANANA CATURRA,kg,MACA GALA,kg,,,,,,,AZ PRETA AZAPA V.FERTIL C/C 200G,un,ALFACE ROXA HIDROPONICA,un,CEBOLA AO KG,kg,"BATATA BRANCA 1,5KG",un
P SEV BOYS SEMI INTE,un,TORRADAS DE ARROZ,un,BISC NESFIT MULTCEREAIS INT 126G,un,COOKIE LEVIT CACAU G,un,MAC INST CUP NOODLES,un,,,,,,,PESSEGO BRANCO GAUCHO GRANEL,kg,,,,,LARANJA UMBIGO ,kg,,,,,,,MAMAO PAPAYA,un,BANANA CATURRA GRANEL,kg,MACA GALA UNICO 1KG,un,,,,,,,,,ALFACE HIDROPONICA,un,CEBOLA BRANCA GRANEL,kg,BATATA DOCE ROXA CRF,kg
PAO INTEGRAL E SOVADO,kg,TORRADA WICKBOLD 100%INT 140G,un,BISC POLVILHO SALG A,un,COOKIE LEVIT AVEIA E,un,MAC OVOS CASE N1 MOS,un,,,,,,,PESSEGO AMARELO GAUCHOGRANEL,kg,,,,,,,,,,,,,MAMAO PAPAIA,kg,BANANA PRATA GRANEL,kg,MACA FUJI GRANEL,un,,,,,,,,,ALFACE DE ESTUFA,un,CEBOLA CRFO KG,kg,BATATA DOCE ROSADA GRANEL,kg
PAO MULTIGRAOS,kg,,,BISC BAUDUCCO BANA C,un,,,MAC OVOS CASE N4 MOS,un,,,,,,,,,,,,,,,,,,,,,MAMAO PAPAYA CRFO KG,kg,BANANA PRATA,kg,MACA FUJI CRFO KG,kg,,,,,,,,,ALFACE TEMPEROS RUCULA,un,,,BATATA DOCE,kg
PAO MINI CASEIRIN,kg,,,BISC COB CHOC BAUDUC,un,,,MAC S OVOS CASE COLE,un,,,,,,,,,,,,,,,,,,,,,,,BANANA PRATA KG,kg,MACA FUJI KG,kg,,,,,,,,,ALFACE LISA ORG ORGA,un,,,BATATA ROSA,kg
PAO FREEK/NOZ WICKBOLD INT 400G,un,,,BISCOITO CASAREDO 400G AGUA E SAL,un,,,MAC INST ISABELA GA,un,,,,,,,,,,,,,,,,,,,,,,,BANANA PRATA PCT 800,un,MACA GRANNY VERDE IMP. GRANEL,kg,,,,,,,,,ALFACE CRESPA,un,,,BATATA ROSADA CRFO K,kg
PAO ITALIANO 500G,un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANANA PRATA COMUM C,kg,,,,,,,,,,,,,,,,